v1,v2,weight
11639,1366,1
11639,95,1
11639,738,1
11639,4084,1
11639,892,1
892,966,8
892,95,1
1124,738,3
1124,4485,1
1124,966,17
1124,4200,1
1124,556,1
1124,528,4
1124,438,4
1124,1146,1
4485,738,1
4485,966,2
4485,556,1
4485,528,1
4200,738,1
4200,4485,1
4200,556,1
4200,528,2
4200,438,4
1033,738,1
1033,1124,1
1033,4485,1
1033,966,1
1033,4200,1
1033,556,1
1033,528,1
1033,1073,1
1033,438,1
1033,1146,1
556,738,1
556,966,3
528,738,6
528,966,31
528,556,1
1073,738,1
1073,1124,1
1073,4485,1
1073,4200,1
1073,556,3
1073,528,1
1073,1146,1
438,4485,1
438,556,1
438,528,9
1146,738,1
1146,4485,1
1146,966,1
1146,4200,1
1146,556,1
1146,528,1
1146,438,2
528,988,6
3493,528,18
3493,988,14
44,735,1
45643,966,23
45643,872,1
3541,872,1
3541,45643,1
438,872,5
438,45643,14
17080,966,1
17080,872,1
17080,45643,1
17080,3541,1
17080,438,1
1085,966,2
1085,872,1
1085,45643,1
1085,3541,1
1085,438,1
1085,17080,1
4419,45643,7
4419,7663,30
345,45643,3
345,438,14
345,38135,2
345,4157,2
45643,7663,5
2162,4419,1
2162,966,1
2162,345,1
2162,45643,1
2162,7663,1
2162,438,1
2162,38135,1
2162,4157,1
38135,4419,1
38135,966,2
38135,45643,2
38135,7663,2
38135,438,1
38135,4157,2
1145,4419,27
1145,966,81
1145,345,8
1145,45643,1
1145,7663,8
1145,2162,1
1145,438,21
1145,38135,1
1145,4157,2
4157,4419,1
4157,966,3
4157,45643,2
4157,7663,2
4157,438,2
2050,4419,2
2050,3179,1
2050,854,2
3179,4419,1
3179,854,1
1145,2050,2
1145,3179,1
1145,854,2
1145,339,1
339,438,2
32544,4419,2
32544,966,4
32544,603,2
2156,32544,2
2156,4419,2
2156,966,5
2156,603,2
1107,32544,1
1107,2156,1
3169,4258,1
3169,37091,1
3169,966,1
3169,4157,1
3169,438,1
3169,603,1
3169,52508,1
3169,93,1
4258,966,7
4258,438,2
4258,603,1
4258,52508,1
4258,93,1
37091,4258,1
37091,966,4
37091,4157,1
37091,438,2
37091,603,1
37091,52508,2
37091,93,1
4157,4258,1
4157,603,1
4157,52508,1
4157,93,1
438,52508,1
438,93,5
1145,3169,1
